#DroneDeploy	0.0.0
#Flight Recorder
Session ID	5b05d265efd0520e45f2b17d
Session Start	05/23/2018 20:50:18
#Device
Device Model	iPad
Device User Interface Idiom	iPad	1
Device Operating System	iOS	11.2.6
Device SSID	
#Aircraft
Aircraft Model	Phantom 4 Pro
Aircraft Name	dd-10
Aircraft Firmware	01.05.0600
#Aircraft Battery
Full Charge Volume (mAh)	5842
Remaining Life (%)	0
Discharges	28
#Components
Battery Cells Number	4
Battery Serial Number	
Battery Firmware	02.00.07.31
Flight Controller Serial Number	07JDE3700201UW
Flight Controller Firmware	03.02.44.07
Gimbal Firmware	01.50.13.17
Remote Control Serial Number	0CKJ202CZ1
Remote Control Firmware	01.04.01.00
Camera Serial Number	
Date/Time (UTC)	Elapsed Time (sec)	Info	Device Latitude (Degrees)	Device Longitude (Degrees)	Device Location Last Updated (ms)	Aircraft Battery Power (%)	Aircraft Battery Charge (mAh)	Aircraft Battery Current (mA)	Aircraft Battery Voltage (mV)	Aircraft Battery Temperature (Fahrenheit)	Aircraft Battery Last Updated (ms)	Aircraft Battery Cell 1 Voltage	Aircraft Battery Cell 2 Voltage	Aircraft Battery Cell 3 Voltage	Aircraft Battery Cell 4 Voltage	Aircraft Battery Cell Voltage Last Updated (ms)	Aircraft Latitude (Degrees)	Aircraft Longitude (Degrees)	Aircraft Speed (mph)	Aircraft Barometric Altitude (ft)	Aircraft Heading (Degrees)	Aircraft Vel - X (mph)	Aircraft Vel - Y (mph)	Aircraft Vel - Z (mph)	Aircraft Pitch (Degrees)	Aircraft Roll (Degrees)	Aircraft Satellites	Aircraft Motors On	Aircraft Flying	Aircraft Flight Mode	Aircraft Flight Mode Value	Aircraft IMU Preheating	Aircraft Ultrasonic On	Aircraft Ultrasonic Altitude (ft)	Aircraft Vision On	Aircraft GPS Signal	Aircraft GPS Signal Value	Aircraft No-fly	Aircraft No-fly Value	Aircraft No-fly Latitude (Degrees)	Aircraft No-fly Longitude (Degrees)	Aircraft No-fly Radius (ft)	Home Latitude (Degrees)	Home Longitude (Degrees)	Aircraft Smart Go-home Flight Time Remaining (sec)	Aircraft Smart Go-home Flight Return Time (sec)	Aircraft Smart Go-home Landing Time (sec)	Aircraft Smart Go-home Return Power (%)	Aircraft Smart Go-home Landing Power (%)	Aircraft Smart Go-home Radius (ft)	Aircraft Smart Go-home Countdown (sec)	Aircraft Smart Go-home Requesting	Aircraft System State Last Updated (ms)	Gimbal Pitch (Degrees)	Gimbal Roll (Degrees)	Gimbal Yaw (Degrees)	Gimbal Mode	Gimbal Mode Value	Gimbal Pitch at Stop	Gimbal Roll at Stop	Gimbal Yaw at Stop	Gimbal Status Last Updated (ms)	Landing Gear is Movable	Landing Gear Status	Landing Gear Status Value	Landing Gear Mode	Landing Gear Mode Value	Landing Gear Last Updated (ms)	RC State	RC State Value	RC Left Horizontal	RC Left Vertical	RC Right Horizontal	RC Right Vertical	RC Left Wheel	RC Right Wheel	RC Landing Gear	RC Landing Gear Value	RC Go Home	RC Record 	RC Shutter	RC Playback	RC Pause	RC Custom 1	RC Custom 2	RC State Last Updated (ms)	RC Battery (%)	RC Battery State Last Updated (ms)	RC Sattelites	RC Horizontal Accuaracy (ft)	RC Latitude (Degrees)	RC Longitude (Degrees)	RC GSP Data is Valid	RC GPS State Last Updated (ms)	RC Signal 1	RC Signal 2	RC Signal Last Updated (ms)	LB Signal 1	LB Signal 2	LB Signal Last Updated (ms)	Aircraft Camera Mode	Aircraft Camera Mode Value	Aircraft Camera Overheated	Aircraft Camera Sensor Error	Aircraft Camera Recording	Aircraft Camera Raw Capture	Aircraft Camera Interval Capture	Aircraft Camera Burst Capture	Aircraft Camera Single Capture	Aircraft Camera Storing Photo	Aircraft Camera State Last Updated (ms)	Aircraft Camera SD Card Exists	Aircraft Camera SD Card Remaining (%)	Aircraft Camera SD Card State Last Updated (ms)	Aircraft Camera Changeable Lens Supported	Aircraft Camera Lens Installed	Aircraft Camera Lens Type	Aircraft Camera Lens AF Enabled	Aircraft Camera Lens Focus Mode	Aircraft Camera Lens Focus Mode Value	Aircraft Camera Lens Focus Status	Aircraft Camera Lens Focus Status Value	Aircraft Camera Lens MF Assistant	Aircraft Camera Lens AF Assistant	Aircraft Camera Lens Assistant Working	Aircraft Camera Lens State Last Updated (ms)	Device > Aircraft Distance - XY (ft)
05/23/2018 20:50:18	0.126	Mission did take off	37.77179522443355	-122.4074760173656	118	0	0	0	0	0	No Data	4257	4255	4257	4253	0	37.77180613458628	-122.4074300677647	0	0	74.60000000000001	0	0	0	-0.8	1	16	1	0	TakeOff	41	0	1	0.328084	0	Very Strong	5	Fly Zone Airport	0	0	0	0	37.77182294598014	-122.4074240882463	0	0	0	0	0	0	0	0	43	0	0	74.59999847412109	Yaw Follow	2	0	0	0	43	0	Unknown	0	Unknown	3	No Data	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	43	0	No Data	0	0	0	0	0	No Data	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	0	0	0	0	44	1	60.87628	44	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	13.86339611034405
05/23/2018 20:50:19	0.228		37.77179522443355	-122.4074760173656	220	0	0	0	0	0	No Data	4257	4255	4257	4253	0	37.77180612392812	-122.407430069427	0	0	74.5	0	0	0	-0.8	1	16	1	0	TakeOff	41	0	1	0.328084	0	Very Strong	5	Fly Zone Airport	0	0	0	0	37.77182294598014	-122.4074240882463	0	0	0	0	0	0	0	0	44	0	0	74.59999847412109	Yaw Follow	2	0	0	0	44	0	Unknown	0	Unknown	3	No Data	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	44	0	No Data	0	0	0	0	0	No Data	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	0	0	0	0	45	1	60.87628	45	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	13.86182399830006
05/23/2018 20:50:19	0.325		37.77179522443355	-122.4074760173656	318	0	0	0	0	0	No Data	4257	4255	4257	4253	0	37.77180610909625	-122.4074300756467	0	0	74.60000000000001	0	0	0	-0.8	1	16	1	0	TakeOff	41	0	1	0.328084	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182294598014	-122.4074240882463	0	0	0	0	0	0	0	0	42	0	0	74.59999847412109	Yaw Follow	2	0	0	0	41	0	Unknown	0	Unknown	3	No Data	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	42	0	No Data	0	0	0	0	0	No Data	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	0	0	0	0	42	1	60.87628	42	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	13.85855577151686
05/23/2018 20:50:19	0.427		37.77179522443355	-122.4074760173656	419	0	0	0	0	0	No Data	4257	4255	4257	4253	0	37.77180610096705	-122.4074300780859	0	0	74.60000000000001	0	0	0	-0.8	1	16	1	0	TakeOff	41	0	1	0.328084	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182294598014	-122.4074240882463	0	0	0	0	0	0	0	0	43	0	0	74.59999847412109	Yaw Follow	2	0	0	0	42	0	Unknown	0	Unknown	3	No Data	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	43	0	No Data	0	0	0	0	0	No Data	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	0	0	0	0	44	1	60.87628	44	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	13.85703376955547
05/23/2018 20:50:19	0.526		37.77179522443355	-122.4074760173656	518	0	0	0	0	0	No Data	4257	4255	4257	4253	0	37.77180611766838	-122.4074300851733	0	0	74.60000000000001	0	0	0	-0.9	1	16	1	0	TakeOff	41	0	1	0.328084	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182294598014	-122.4074240882463	0	0	0	0	0	0	0	0	39	0	0	74.59999847412109	Yaw Follow	2	0	0	0	141	0	Unknown	0	Unknown	3	No Data	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	34	0	No Data	0	0	0	0	0	No Data	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	0	0	0	0	41	1	60.87628	41	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	13.85681037639488
05/23/2018 20:50:19	0.626		37.77179522443355	-122.4074760173656	619	0	0	0	0	0	No Data	4257	4255	4257	4253	0	37.77180614142411	-122.4074300890235	0	0	74.60000000000001	0	0	0	-0.8	1	16	1	0	TakeOff	41	0	1	0.328084	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182294598014	-122.4074240882463	0	0	0	0	0	0	0	0	35	0	0	74.59999847412109	Yaw Follow	2	0	0	0	34	0	Unknown	0	Unknown	3	No Data	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	35	0	No Data	0	0	0	0	0	No Data	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	0	0	0	0	37	1	60.87628	37	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	13.85822308435152
05/23/2018 20:50:19	0.727		37.77179522443355	-122.4074760173656	719	0	0	0	0	0	No Data	4257	4255	4257	4253	0	37.77180616433633	-122.4074300943159	0	0	74.60000000000001	0	0	0	-0.9	1	16	1	0	TakeOff	41	0	1	0.328084	0	Very Strong	5	Fly Zone Airport	0	0	0	0	37.77182294598014	-122.4074240882463	0	0	0	0	0	0	0	0	34	0	0	74.59999847412109	Yaw Follow	2	0	0	0	135	0	Unknown	0	Unknown	3	No Data	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	34	89	34	0	0	0	0	0	No Data	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	0	0	0	0	35	1	60.87628	35	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	13.85915357589927
05/23/2018 20:50:19	0.827		37.77179522443355	-122.4074760173656	819	97	5666	-1466	17000	85	43	4258	4256	4257	4253	0	37.77180617925613	-122.4074300976323	0	0	74.60000000000001	0	0	0	-0.9	1	16	1	0	TakeOff	41	0	1	0.328084	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182294598014	-122.4074240882463	0	0	0	0	0	0	0	0	44	0	0	74.59999847412109	Yaw Follow	2	0	0	0	45	0	Unknown	0	Unknown	3	No Data	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	44	89	134	0	0	0	0	0	No Data	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	0	0	0	0	45	1	60.87628	45	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	13.85979818048957
05/23/2018 20:50:19	0.927		37.77179522443355	-122.4074760173656	919	97	5666	-1466	17000	85	143	4258	4256	4257	4253	0	37.77180618908216	-122.4074301044379	0	0	74.60000000000001	0	0	0	-0.9	1	16	1	0	TakeOff	41	0	1	0.328084	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182294598014	-122.4074240882463	0	0	0	0	0	0	0	0	33	0	0	74.59999847412109	Yaw Follow	2	0	0	0	34	0	Unknown	0	Unknown	3	No Data	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	32	89	233	0	0	0	0	0	No Data	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	0	0	0	0	34	1	60.87628	34	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	13.85894467712384
05/23/2018 20:50:19	1.027		37.77179522443355	-122.4074760173656	1019	97	5666	-1466	17000	85	243	4258	4256	4257	4253	0	37.77180619583532	-122.4074301084561	0	0	74.60000000000001	0	0	0	-0.9	1	16	1	0	TakeOff	41	0	1	0.328084	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182294598014	-122.4074240882463	0	0	0	0	0	0	0	0	32	0	0	74.59999847412109	Yaw Follow	2	0	0	0	31	0	Unknown	0	Unknown	3	No Data	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	31	89	334	0	0	0	0	0	No Data	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	0	0	0	0	33	1	60.87628	33	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	13.85854118186893
