#DroneDeploy	2.75.0
#Flight Recorder
User ID 5fac2b9256338b4d7fd43852
Organization ID 5fac2c0dd27ea76caff42e9f
Session ID	12345678
Session Start	06/04/2018 20:54:36
#Device
Platform    iOS
Device Model	iPhone
Device User Interface Idiom	iPhone	0
Device Operating System	iOS	11.3.1
Device SSID
#Aircraft
Aircraft Model	Matrice 200
Aircraft Name	123
Aircraft Firmware	01.01.0900
#Aircraft Battery
Full Charge Volume (mAh)	4153
Remaining Life (%)	98
Discharges	26
#Components
Battery Cells Number	6
Battery Serial Number	12345678
Battery Firmware	01.00.00.67
Flight Controller Serial Number	12345678
Flight Controller Firmware	03.02.44.16
Gimbal Firmware	01.01.00.21
Remote Control Serial Number	12345678
Remote Control Firmware	01.01.0010
Camera Serial Number	12345678
Date/Time (UTC)	Elapsed Time (sec)	Info	Device Latitude (Degrees)	Device Longitude (Degrees)	Device Location Last Updated (ms)	Aircraft Battery Power (%)	Aircraft Battery Charge (mAh)	Aircraft Battery Current (mA)	Aircraft Battery Voltage (mV)	Aircraft Battery Temperature (Fahrenheit)	Aircraft Battery Last Updated (ms)	Aircraft Battery Cell 1 Voltage	Aircraft Battery Cell 2 Voltage	Aircraft Battery Cell 3 Voltage	Aircraft Battery Cell 4 Voltage	Aircraft Battery Cell 5 Voltage	Aircraft Battery Cell 6 Voltage	Aircraft Battery Cell Voltage Last Updated (ms)	Aircraft Latitude (Degrees)	Aircraft Longitude (Degrees)	Aircraft Speed (mph)	Aircraft Barometric Altitude (ft)	Aircraft Heading (Degrees)	Aircraft Vel - X (mph)	Aircraft Vel - Y (mph)	Aircraft Vel - Z (mph)	Aircraft Pitch (Degrees)	Aircraft Roll (Degrees)	Aircraft Satellites	Aircraft Motors On	Aircraft Flying	Aircraft Flight Mode	Aircraft Flight Mode Value	Aircraft IMU Preheating	Aircraft Ultrasonic On	Aircraft Ultrasonic Altitude (ft)	Aircraft Vision On	Aircraft GPS Signal	Aircraft GPS Signal Value	Aircraft No-fly	Aircraft No-fly Value	Aircraft No-fly Latitude (Degrees)	Aircraft No-fly Longitude (Degrees)	Aircraft No-fly Radius (ft)	Home Latitude (Degrees)	Home Longitude (Degrees)	Aircraft Smart Go-home Flight Time Remaining (sec)	Aircraft Smart Go-home Flight Return Time (sec)	Aircraft Smart Go-home Landing Time (sec)	Aircraft Smart Go-home Return Power (%)	Aircraft Smart Go-home Landing Power (%)	Aircraft Smart Go-home Radius (ft)	Aircraft Smart Go-home Countdown (sec)	Aircraft Smart Go-home Requesting	Aircraft System State Last Updated (ms)	Gimbal Pitch (Degrees)	Gimbal Roll (Degrees)	Gimbal Yaw (Degrees)	Gimbal Mode	Gimbal Mode Value	Gimbal Pitch at Stop	Gimbal Roll at Stop	Gimbal Yaw at Stop	Gimbal Status Last Updated (ms)	Landing Gear is Movable	Landing Gear Status	Landing Gear Status Value	Landing Gear Mode	Landing Gear Mode Value	Landing Gear Last Updated (ms)	RC State	RC State Value	RC Left Horizontal	RC Left Vertical	RC Right Horizontal	RC Right Vertical	RC Left Wheel	RC Right Wheel	RC Landing Gear	RC Landing Gear Value	RC Go Home	RC Record 	RC Shutter	RC Playback	RC Pause	RC Custom 1	RC Custom 2	RC State Last Updated (ms)	RC Battery (%)	RC Battery State Last Updated (ms)	RC Sattelites	RC Horizontal Accuaracy (ft)	RC Latitude (Degrees)	RC Longitude (Degrees)	RC GSP Data is Valid	RC GPS State Last Updated (ms)	RC Signal 1	RC Signal 2	RC Signal Last Updated (ms)	LB Signal 1	LB Signal 2	LB Signal Last Updated (ms)	Aircraft Camera Mode	Aircraft Camera Mode Value	Aircraft Camera Overheated	Aircraft Camera Sensor Error	Aircraft Camera Recording	Aircraft Camera Raw Capture	Aircraft Camera Interval Capture	Aircraft Camera Burst Capture	Aircraft Camera Single Capture	Aircraft Camera Storing Photo	Aircraft Camera State Last Updated (ms)	Aircraft Camera SD Card Exists	Aircraft Camera SD Card Remaining (%)	Aircraft Camera SD Card State Last Updated (ms)	Aircraft Camera Changeable Lens Supported	Aircraft Camera Lens Installed	Aircraft Camera Lens Type	Aircraft Camera Lens AF Enabled	Aircraft Camera Lens Focus Mode	Aircraft Camera Lens Focus Mode Value	Aircraft Camera Lens Focus Status	Aircraft Camera Lens Focus Status Value	Aircraft Camera Lens MF Assistant	Aircraft Camera Lens AF Assistant	Aircraft Camera Lens Assistant Working	Aircraft Camera Lens State Last Updated (ms)	Device > Aircraft Distance - XY (ft)
06/04/2018 20:54:36	0.135	Mission did take off	37.77177140117126	-122.4074382698926	116	0	0	0	0	0	No Data	0	0	0	0			No Data	37.77177056395729	-122.4074025309046	0	0	132.1	0	0	0	0.7000000000000001	-1	13	1	0	TakeOff	41	0	1	0.328084	0	Very Good	4	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182952057346	-122.4075550697127	0	0	0	0	0	0	0	0	57	0	0	132.1000061035156	Yaw Follow	2	0	0	0	55	0	Unknown	0	Unknown	3	No Data	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	55	0	No Data	0	0	0	0	0	No Data	54	57	55	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	0	0	0	0	56	1	35.65343	56	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	10.33502722161643
06/04/2018 20:54:37	0.234		37.77177140117126	-122.4074382698926	215	0	0	0	0	0	No Data	3905	3905	3885	3901	3908	3904	0	37.77177055227158	-122.407402523654	0	0	132.1	0	0	0	0.7000000000000001	-1	13	1	0	TakeOff	41	0	1	0.328084	0	Very Good	4	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182952057346	-122.4075550697127	0	0	0	0	0	0	0	0	55	0	0	132.1000061035156	Yaw Follow	2	0	0	0	54	0	Unknown	0	Unknown	3	No Data	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	54	0	No Data	0	0	0	0	0	No Data	54	57	155	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	0	0	0	0	54	1	35.65343	54	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	10.33724851697154
06/04/2018 20:54:37	0.335		37.77177140117126	-122.4074382698926	316	0	0	0	0	0	No Data	3905	3905	3885	3901	3908	3904	0	37.77177057681548	-122.407402554163	0	0	132.1	0	0	0	0.7000000000000001	-0.9	13	1	0	TakeOff	41	0	1	0.328084	0	Very Good	4	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182952057346	-122.4075550697127	0	0	0	0	0	0	0	0	40	0	0	132.1000061035156	Yaw Follow	2	0	0	0	40	0	Unknown	0	Unknown	3	No Data	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	40	0	No Data	0	0	0	0	0	No Data	54	57	256	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	0	0	0	0	41	1	35.65343	41	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	10.32817005416421
06/04/2018 20:54:37	0.434		37.77177140117126	-122.4074382698926	415	0	0	0	0	0	No Data	3905	3905	3885	3901	3908	3904	99	37.77177057300493	-122.4074025421545	0	0	132.1	0	0	0	0.7000000000000001	-0.9	13	1	0	TakeOff	41	0	1	0.328084	0	Very Good	4	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182952057346	-122.4075550697127	0	0	0	0	0	0	0	0	37	0	0	132.1000061035156	Yaw Follow	2	0	0	0	37	0	Unknown	0	Unknown	3	No Data	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	37	0	No Data	0	0	0	0	0	No Data	54	57	355	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	0	0	0	0	39	1	35.65343	39	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	10.33168011795219
06/04/2018 20:54:37	0.535		37.77177140117126	-122.4074382698926	516	0	0	0	0	0	No Data	3905	3905	3885	3901	3908	3904	199	37.77177057233401	-122.4074025249004	0	0	132.1	0	0	0	0.7000000000000001	-1	13	1	0	TakeOff	41	0	1	0.328084	0	Very Good	4	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182952057346	-122.4075550697127	0	0	0	0	0	0	0	0	37	0	0	132.1000061035156	Yaw Follow	2	0	0	0	38	0	Unknown	0	Unknown	3	No Data	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	37	0	No Data	0	0	0	0	0	No Data	54	57	456	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	0	0	0	0	37	1	35.65343	37	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	10.33667251774767
06/04/2018 20:54:37	0.642		37.77177140117126	-122.4074382698926	623	0	0	0	0	0	No Data	3905	3905	3885	3901	3908	3904	0	37.7717705814533	-122.4074024736041	0	0	132.1	0	0	0	0.8	-0.9	13	1	0	TakeOff	41	0	1	0.328084	0	Very Good	4	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182952057346	-122.4075550697127	0	0	0	0	0	0	0	0	43	0	0	132.1000061035156	Yaw Follow	2	0	0	0	43	0	Unknown	0	Unknown	3	No Data	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	43	93	44	0	0	0	0	0	No Data	48	55	43	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	0	0	0	0	43	1	35.65343	43	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	10.35139735920152
06/04/2018 20:54:37	0.746		37.77177140117126	-122.4074382698926	727	0	0	0	0	0	No Data	3905	3905	3885	3901	3908	3904	34	37.7717705814533	-122.4074024736041	0	0	132.1	0	0	0	0.8	-0.9	13	1	0	TakeOff	41	0	1	0.328084	0	Very Good	4	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182952057346	-122.4075550697127	0	0	0	0	0	0	0	0	147	0	0	132.1000061035156	Yaw Follow	2	0	0	0	34	0	Unknown	0	Unknown	3	No Data	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	34	93	149	0	0	0	0	0	No Data	48	55	148	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	0	0	0	0	34	1	35.65343	34	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	10.35139735920152
06/04/2018 20:54:37	0.846		37.77177140117126	-122.4074382698926	827	0	0	0	0	0	No Data	3905	3905	3885	3901	3908	3904	83	37.77177064462389	-122.4074023556323	0	0	132.1	0	0	0	0.6000000000000001	-0.9	13	1	0	TakeOff	41	0	1	0.328084	0	Very Good	4	Fly Zone Airport	0	0	0	0	37.77182952057346	-122.4075550697127	0	0	0	0	0	0	0	0	30	0	0	132.1000061035156	Yaw Follow	2	0	0	0	31	0	Unknown	0	Unknown	3	No Data	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	31	93	248	0	0	0	0	0	No Data	48	55	247	N/A	N/A	31	Shoot Photo	0	0	0	0	0	0	0	0	0	30	1	35.65343	30	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	10.38484783284436
06/04/2018 20:54:37	0.945		37.77177140117126	-122.4074382698926	926	0	0	0	0	0	No Data	3905	3905	3885	3901	3908	3904	183	37.77177065124189	-122.4074023360805	0	0	132.1	0	0	0	0.6000000000000001	-0.9	13	1	0	TakeOff	41	0	1	0.328084	0	Very Good	4	Fly Zone Airport	0	0	0	0	37.77182952057346	-122.4075550697127	0	0	0	0	0	0	0	0	32	0	0	132.1000061035156	Yaw Follow	2	0	0	0	33	0	Unknown	0	Unknown	3	No Data	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	33	93	347	0	0	0	0	0	No Data	48	55	346	N/A	N/A	130	Shoot Photo	0	0	0	0	0	0	0	0	0	32	1	35.65343	32	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	10.39043376410583
06/04/2018 20:54:37	1.046		37.77177140117126	-122.4074382698926	1027	0	0	0	0	0	No Data	3905	3905	3885	3901	3908	3904	32	37.77177065386694	-122.4074023308241	0	0	132.1	0	0	0	0.6000000000000001	-0.9	13	1	0	TakeOff	41	0	1	0.328084	0	Very Good	4	Fly Zone Airport	0	0	0	0	37.77182952057346	-122.4075550697127	0	0	0	0	0	0	0	0	33	0	0	132.1000061035156	Yaw Follow	2	0	0	0	33	0	Unknown	0	Unknown	3	No Data	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	33	93	449	0	0	0	0	0	No Data	48	55	448	N/A	N/A	232	Shoot Photo	0	0	0	0	0	0	0	0	0	32	1	35.65343	32	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	10.39192756693762
06/04/2018 20:54:37	1.146		37.77177140117126	-122.4074382698926	1128	0	0	0	0	0	No Data	3897	3895	3875	3891	3898	3896	32	37.77177066556568	-122.4074024015638	0	0	132.1	0	0	0	0.5	-0.9	13	1	0	TakeOff	41	0	1	0.328084	0	Very Good	4	Fly Zone Airport	0	0	0	0	37.77182952057346	-122.4075550697127	0	0	0	0	0	0	0	0	33	0	0	132.1000061035156	Yaw Follow	2	0	0	0	34	0	Unknown	0	Unknown	3	No Data	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	33	93	549	0	0	0	0	0	No Data	56	55	34	N/A	N/A	332	Shoot Photo	0	0	0	0	0	0	0	0	0	32	1	35.65343	32	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	10.37137603310192
06/04/2018 20:54:38	1.247		37.77177140117126	-122.4074382698926	1228	0	0	0	0	0	No Data	3897	3895	3875	3891	3898	3896	84	37.77177067138248	-122.407402411318	0	0	132.1	0	0	0	0.6000000000000001	-0.9	13	1	0	TakeOff	41	0	1	0.328084	0	Very Good	4	Fly Zone Airport	0	0	0	0	37.77182952057346	-122.4075550697127	0	0	0	0	0	0	0	0	32	0	0	132.1000061035156	Yaw Follow	2	0	0	0	33	0	Unknown	0	Unknown	3	No Data	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	32	93	649	0	0	0	0	0	No Data	56	55	134	N/A	N/A	432	Shoot Photo	0	0	0	0	0	0	0	0	0	32	1	35.65343	32	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	10.36850296344314
06/04/2018 20:54:38	1.348		37.77177140117126	-122.4074382698926	1329	0	0	0	0	0	No Data	3897	3895	3875	3891	3898	3896	185	37.77177066810606	-122.4074024129979	0	0	132.1	0	0	0	0.7000000000000001	-1	13	1	0	TakeOff	41	0	1	0.328084	0	Very Good	4	Fly Zone Airport	0	0	0	0	37.77182952057346	-122.4075550697127	0	0	0	0	0	0	0	0	33	0	0	132.1000061035156	Yaw Follow	2	0	0	0	35	0	Unknown	0	Unknown	3	No Data	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	34	93	751	0	0	0	0	0	No Data	56	55	236	N/A	N/A	534	Shoot Photo	0	0	0	0	0	0	0	0	0	34	1	35.65343	34	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	10.36804819145438
06/04/2018 20:54:38	1.447		37.77177140117126	-122.4074382698926	1428	0	0	0	0	0	No Data	3897	3895	3875	3891	3898	3896	32	37.77177066097998	-122.4074024115131	0	0	132.1	0	0	0	0.5	-1	13	1	0	TakeOff	41	0	1	0.328084	0	Very Good	4	Fly Zone Airport	0	0	0	0	37.77182952057346	-122.4075550697127	0	0	0	0	0	0	0	0	32	0	0	132.1000061035156	Yaw Follow	2	0	0	0	33	0	Unknown	0	Unknown	3	No Data	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	33	93	849	0	0	0	0	0	No Data	56	55	334	N/A	N/A	632	Shoot Photo	0	0	0	0	0	0	0	0	0	32	1	35.65343	32	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	10.36854437307552
06/04/2018 20:54:38	1.548		37.77177140117126	-122.4074382698926	1529	0	0	0	0	0	No Data	3897	3895	3875	3891	3898	3896	29	37.77177064694931	-122.407402471469	0	0	132	0	0	0	0.4	-1	13	1	0	TakeOff	41	0	1	0.328084	0	Very Good	4	Fly Zone Airport	0	0	0	0	37.77182952057346	-122.4075550697127	0	0	0	0	0	0	0	0	30	0	0	132.1000061035156	Yaw Follow	2	0	0	0	30	0	Unknown	0	Unknown	3	No Data	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	29	93	29	0	0	0	0	0	No Data	56	55	436	N/A	N/A	734	Shoot Photo	0	0	0	0	0	0	0	0	0	29	1	35.65343	29	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	10.35135399151041
06/04/2018 20:54:38	1.635		37.77177140117126	-122.4074382698926	1616	0	0	0	0	0	No Data	3897	3895	3875	3891	3898	3896	57	37.77177064644124	-122.4074024596664	0	0	132	0	0	0	0.6000000000000001	-1	13	1	0	TakeOff	11	0	1	0.328084	0	Very Good	4	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182952057346	-122.4075550697127	0	0	0	0	0	0	0	0	19	0	0	132.1000061035156	Yaw Follow	2	0	0	0	20	0	Unknown	0	Unknown	3	No Data	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	19	93	115	0	0	0	0	0	No Data	57	61	20	N/A	N/A	820	Shoot Photo	0	0	0	0	0	0	0	0	0	20	1	35.65343	20	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	10.35476929857844
