#DroneDeploy	2.75.0
#Flight Recorder
Session ID	5b15bcec1fae218a83b7e76a
Session Start	06/04/2018 22:29:00
#Device
Device Model	iPhone
Device User Interface Idiom	iPhone	0
Device Operating System	iOS	11.4
Device SSID
#Aircraft
Aircraft Model	Inspire 1 Pro
Aircraft Name	inspire pro
Aircraft Firmware	1.11.01.50
#Aircraft Battery
Full Charge Volume (mAh)	4287
Remaining Life (%)	83
Discharges	69
#Components
Battery Cells Number	6
Battery Serial Number	5381145250473
Battery Firmware	03.09.00.00
Flight Controller Serial Number
Flight Controller Firmware	02.04.20.50
Gimbal Firmware	01.31.01.67
Remote Control Serial Number	03LL264834
Remote Control Firmware	1.2.0.17
Camera Serial Number
Date/Time (UTC)	Elapsed Time (sec)	Info	Device Latitude (Degrees)	Device Longitude (Degrees)	Device Location Last Updated (ms)	Aircraft Battery Power (%)	Aircraft Battery Charge (mAh)	Aircraft Battery Current (mA)	Aircraft Battery Voltage (mV)	Aircraft Battery Temperature (Fahrenheit)	Aircraft Battery Last Updated (ms)	Aircraft Battery Cell 1 Voltage	Aircraft Battery Cell 2 Voltage	Aircraft Battery Cell 3 Voltage	Aircraft Battery Cell 4 Voltage	Aircraft Battery Cell 5 Voltage	Aircraft Battery Cell 6 Voltage	Aircraft Battery Cell Voltage Last Updated (ms)	Aircraft Latitude (Degrees)	Aircraft Longitude (Degrees)	Aircraft Speed (mph)	Aircraft Barometric Altitude (ft)	Aircraft Heading (Degrees)	Aircraft Vel - X (mph)	Aircraft Vel - Y (mph)	Aircraft Vel - Z (mph)	Aircraft Pitch (Degrees)	Aircraft Roll (Degrees)	Aircraft Satellites	Aircraft Motors On	Aircraft Flying	Aircraft Flight Mode	Aircraft Flight Mode Value	Aircraft IMU Preheating	Aircraft Ultrasonic On	Aircraft Ultrasonic Altitude (ft)	Aircraft Vision On	Aircraft GPS Signal	Aircraft GPS Signal Value	Aircraft No-fly	Aircraft No-fly Value	Aircraft No-fly Latitude (Degrees)	Aircraft No-fly Longitude (Degrees)	Aircraft No-fly Radius (ft)	Home Latitude (Degrees)	Home Longitude (Degrees)	Aircraft Smart Go-home Flight Time Remaining (sec)	Aircraft Smart Go-home Flight Return Time (sec)	Aircraft Smart Go-home Landing Time (sec)	Aircraft Smart Go-home Return Power (%)	Aircraft Smart Go-home Landing Power (%)	Aircraft Smart Go-home Radius (ft)	Aircraft Smart Go-home Countdown (sec)	Aircraft Smart Go-home Requesting	Aircraft System State Last Updated (ms)	Gimbal Pitch (Degrees)	Gimbal Roll (Degrees)	Gimbal Yaw (Degrees)	Gimbal Mode	Gimbal Mode Value	Gimbal Pitch at Stop	Gimbal Roll at Stop	Gimbal Yaw at Stop	Gimbal Status Last Updated (ms)	Landing Gear is Movable	Landing Gear Status	Landing Gear Status Value	Landing Gear Mode	Landing Gear Mode Value	Landing Gear Last Updated (ms)	RC State	RC State Value	RC Left Horizontal	RC Left Vertical	RC Right Horizontal	RC Right Vertical	RC Left Wheel	RC Right Wheel	RC Landing Gear	RC Landing Gear Value	RC Go Home	RC Record 	RC Shutter	RC Playback	RC Pause	RC Custom 1	RC Custom 2	RC State Last Updated (ms)	RC Battery (%)	RC Battery State Last Updated (ms)	RC Sattelites	RC Horizontal Accuaracy (ft)	RC Latitude (Degrees)	RC Longitude (Degrees)	RC GSP Data is Valid	RC GPS State Last Updated (ms)	RC Signal 1	RC Signal 2	RC Signal Last Updated (ms)	LB Signal 1	LB Signal 2	LB Signal Last Updated (ms)	Aircraft Camera Mode	Aircraft Camera Mode Value	Aircraft Camera Overheated	Aircraft Camera Sensor Error	Aircraft Camera Recording	Aircraft Camera Raw Capture	Aircraft Camera Interval Capture	Aircraft Camera Burst Capture	Aircraft Camera Single Capture	Aircraft Camera Storing Photo	Aircraft Camera State Last Updated (ms)	Aircraft Camera SD Card Exists	Aircraft Camera SD Card Remaining (%)	Aircraft Camera SD Card State Last Updated (ms)	Aircraft Camera Changeable Lens Supported	Aircraft Camera Lens Installed	Aircraft Camera Lens Type	Aircraft Camera Lens AF Enabled	Aircraft Camera Lens Focus Mode	Aircraft Camera Lens Focus Mode Value	Aircraft Camera Lens Focus Status	Aircraft Camera Lens Focus Status Value	Aircraft Camera Lens MF Assistant	Aircraft Camera Lens AF Assistant	Aircraft Camera Lens Assistant Working	Aircraft Camera Lens State Last Updated (ms)	Device > Aircraft Distance - XY (ft)
06/04/2018 22:29:00	0.113	Mission did take off	37.77177978532367	-122.4074720564078	110	0	0	0	0	0	No Data	4206	4202	4205	4206	4204	4205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Almost No Signal	0	Fly Zone Airport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No Data	0	0	0	Free	0	0	0	0	No Data	1	Deployed	1	Auto	2	0	1	0	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	No Data	0	No Data	0	0	0	0	0	No Data	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	0	0	0	0	No Data	0	0	No Data	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	42010245.48831273
06/04/2018 22:29:00	0.213		37.77177978532367	-122.4074720564078	210	0	0	0	0	0	No Data	4206	4202	4205	4206	4204	4205	0	37.77182571436061	-122.4073950489475	0	0	51.7	0	0	0.2236942	-1.8	2.8	17	1	1	F-GPS	6	0	1	0.328084	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77183055979695	-122.4073997806286	0	0	0	15	10	0	0	0	95	0	0	51.29999923706055	Yaw Follow	2	0	0	0	95	1	Deployed	1	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	95	0	No Data	0	0	0	0	0	No Data	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	0	0	0	0	95	1	99.64936	95	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	27.8424602417005
06/04/2018 22:29:00	0.313		37.77177978532367	-122.4074720564078	310	97	4158	-844	25228	75	86	4206	4202	4205	4206	4204	4205	0	37.7718257248598	-122.4073950574205	0	0	51.6	0	0	0.2236942	-1.8	2.8	17	1	0	F-GPS	6	0	1	0.328084	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77183055979695	-122.4073997806286	0	0	0	15	10	0	0	0	1	0	0	51.29999923706055	Yaw Follow	2	0	0	0	1	1	Deployed	1	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	1	0	No Data	0	0	0	0	0	No Data	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	0	0	0	0	2	1	99.64936	2	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	27.84279919468834
06/04/2018 22:29:00	0.413		37.77177978532367	-122.4074720564078	410	97	4158	-844	25228	75	186	4206	4202	4205	4206	4204	4205	0	37.77182574002968	-122.4073950594667	0	0	51.5	0	0	0.2236942	-1.8	2.8	17	1	0	F-GPS	6	0	1	0.656168	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77183055979695	-122.4073997806286	0	0	0	15	10	0	0	0	2	0	0	51.29999923706055	Yaw Follow	2	0	0	0	2	1	Deployed	1	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	2	0	No Data	0	0	0	0	0	No Data	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	0	0	0	0	3	1	99.64936	3	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	27.84564583523882
06/04/2018 22:29:00	0.514		37.77177978532367	-122.4074720564078	511	97	4158	-844	25228	75	286	4206	4202	4205	4206	4204	4205	0	37.77182574002968	-122.4073950594667	0	0	51.5	0	0	0.2236942	-1.8	2.8	17	1	0	F-GPS	6	0	1	0.656168	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77183055979695	-122.4073997806286	0	0	0	15	10	0	0	0	103	0	0	51.29999923706055	Yaw Follow	2	0	0	0	103	1	Deployed	1	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	103	0	No Data	0	0	0	0	0	No Data	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	0	0	0	0	103	1	99.64936	103	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	27.84564583523882
06/04/2018 22:29:01	0.614		37.77177978532367	-122.4074720564078	611	97	4158	-844	25228	75	386	4206	4202	4205	4206	4204	4205	0	37.77182573947915	-122.4073950545952	0	0	51.5	0	0	0.2236942	-1.8	2.8	17	1	0	F-GPS	6	0	1	0.328084	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77183055979695	-122.4073997806286	0	0	0	15	10	0	0	0	77	0	0	51.29999923706055	Yaw Follow	2	0	0	0	77	1	Deployed	1	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	77	0	No Data	0	0	0	0	0	No Data	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	0	0	0	0	78	1	99.64936	78	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	27.84665086577869
06/04/2018 22:29:01	0.714		37.77177978532367	-122.4074720564078	711	97	4158	-844	25228	75	486	4206	4202	4205	4206	4204	4205	0	37.7718258371721	-122.4073950482373	0	0	51.40000000000001	0	0	0.2236942	-1.8	2.8	17	1	0	F-GPS	6	0	1	0.328084	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77183055979695	-122.4073997806286	0	0	0	15	10	0	0	0	89	0	0	51.29999923706055	Yaw Follow	2	0	0	0	89	1	Deployed	1	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	89	89	89	0	0	0	0	0	No Data	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	0	0	0	0	90	1	99.64936	90	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	27.86951132661308
06/04/2018 22:29:01	0.813		37.77177978532367	-122.4074720564078	810	97	4158	-846	25227	75	89	4206	4202	4205	4206	4204	4205	0	37.77182582198058	-122.4073950372697	0	0	51.40000000000001	0	0	0.2236942	-1.8	2.8	17	1	0	F-GPS	6	0	1	0.328084	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77183055979695	-122.4073997806286	0	0	0	15	10	0	0	0	89	0	0	51.29999923706055	Yaw Follow	2	0	0	0	89	1	Deployed	1	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	89	89	188	0	0	0	0	0	No Data	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	0	0	0	0	89	1	99.64936	89	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	27.8687154250737
06/04/2018 22:29:01	0.913		37.77177978532367	-122.4074720564078	910	97	4158	-846	25227	75	189	4206	4202	4205	4206	4204	4205	0	37.77182580820389	-122.4073950447985	0	0	51.5	0	0	0.2236942	-1.8	2.8	17	1	0	F-GPS	6	0	1	0.328084	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77183055979695	-122.4073997806286	0	0	0	15	10	0	0	0	80	0	0	51.29999923706055	Yaw Follow	2	0	0	0	80	1	Deployed	1	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	80	89	289	8	3.543307	37.7717664	-122.4074496	1	79	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	0	0	0	0	189	1	99.64936	189	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	27.86395931985457
06/04/2018 22:29:01	1.014		37.77177978532367	-122.4074720564078	1011	97	4158	-846	25227	75	290	4206	4202	4205	4206	4204	4205	0	37.77182577278766	-122.407395058074	0	0	51.6	0	0	0.2236942	-1.8	2.8	17	1	0	F-GPS	6	0	1	0.328084	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182571595883	-122.4073950495943	0	0	0	15	10	0	0	0	94	0	0	51.29999923706055	Yaw Follow	2	0	0	0	94	1	Deployed	1	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	95	89	389	8	3.543307	37.7717664	-122.4074496	1	180	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	0	0	0	0	94	1	99.64936	94	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	27.8531379197171
06/04/2018 22:29:01	1.114		37.77177978532367	-122.4074720564078	1111	97	4158	-846	25227	75	390	4206	4202	4205	4206	4204	4205	0	37.77182576973554	-122.4073950627549	0	0	51.7	0	0	0.2236942	-1.8	2.8	17	1	0	F-GPS	6	0	1	0.328084	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182571595883	-122.4073950495943	0	0	0	15	10	0	0	0	83	0	0	51.29999923706055	Yaw Follow	2	0	0	0	194	1	Deployed	1	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	83	89	489	8	3.543307	37.7717664	-122.4074496	1	280	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	0	0	0	0	83	1	99.64936	83	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	27.85138851776696
06/04/2018 22:29:01	1.213		37.77177978532367	-122.4074720564078	1210	97	4158	-846	25227	75	489	4206	4202	4205	4206	4204	4205	0	37.77182577368613	-122.4073950662346	0	0	51.7	0	0	0.2236942	-1.8	2.8	17	1	0	F-GPS	6	0	1	0.328084	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182571595883	-122.4073950495943	0	0	0	15	10	0	0	0	62	0	0	51.29999923706055	Yaw Follow	2	0	0	0	62	1	Deployed	1	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	63	89	588	8	3.543307	37.7717664	-122.4074496	1	379	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	0	0	0	0	63	1	99.64936	63	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	27.85144976883275
06/04/2018 22:29:01	1.314		37.77177978532367	-122.4074720564078	1311	97	4158	-846	25227	75	78	4206	4202	4205	4206	4204	4205	0	37.77182578977336	-122.4073950733459	0	0	51.7	0	0	0.2236942	-1.8	2.8	17	1	0	F-GPS	6	0	1	0.328084	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182571595883	-122.4073950495943	0	0	0	15	10	0	0	0	78	0	0	51.29999923706055	Yaw Follow	2	0	0	0	163	1	Deployed	1	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	78	89	689	8	3.543307	37.7717664	-122.4074496	1	480	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	0	0	0	0	78	1	99.64936	78	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	27.8533303226397
