#DroneDeploy	4.21.0.1517
#Flight Recorder
User ID	58adcdaff6b11d0001fff143
Organization ID	5ce4361f919c5f0001530f71
Session ID	unknown_plan_id
Session Start	11/13/2020 01:12:40
#Device
Device Model	iPad
Device User Interface Idiom	iPad	1
Device Operating System	iOS	14.1
Device SSID
#Aircraft
Aircraft Model	Phantom 4 Pro
Aircraft Name	Fake Aircraft Name
Aircraft Firmware	Fake Aircraft Firmware Package
#Aircraft Battery
Full Charge Volume (mAh)	1
Remaining Life (%)	1
Discharges	4
#Components
Battery Cells Number	0
Battery Serial Number	Fake Battery Serial
Battery Firmware	Fake Battery Firmware
Flight Controller Serial Number	Fake FC Serial
Flight Controller Firmware	Fake FC Firwmare
Gimbal Firmware	Fake Gimbal Firmware
Remote Control Serial Number	Fake RC Serial
Remote Control Firmware	Fake RC Firmware
Camera Serial Number	Fake Camera Serial
Date/Time (UTC)	Elapsed Time (sec)	Info	Device Latitude (Degrees)	Device Longitude (Degrees)	Device Location Last Updated (ms)	Aircraft Battery Power (%)	Aircraft Battery Charge (mAh)	Aircraft Battery Current (mA)	Aircraft Battery Voltage (mV)	Aircraft Battery Temperature (Fahrenheit)	Aircraft Battery Last Updated (ms)	Aircraft Battery Cell 1 Voltage	Aircraft Battery Cell 2 Voltage	Aircraft Battery Cell 3 Voltage	Aircraft Battery Cell 4 Voltage	Aircraft Battery Cell Voltage Last Updated (ms)	Aircraft Latitude (Degrees)	Aircraft Longitude (Degrees)	Aircraft Speed (mph)	Aircraft Barometric Altitude (ft)	Aircraft Heading (Degrees)	Aircraft Vel - X (mph)	Aircraft Vel - Y (mph)	Aircraft Vel - Z (mph)	Aircraft Pitch (Degrees)	Aircraft Roll (Degrees)	Aircraft Satellites	Aircraft Motors On	Aircraft Flying	Aircraft Flight Mode	Aircraft Flight Mode Value	Aircraft IMU Preheating	Aircraft Ultrasonic On	Aircraft Ultrasonic Altitude (ft)	Aircraft Vision On	Aircraft GPS Signal	Aircraft GPS Signal Value	Aircraft No-fly	Aircraft No-fly Value	Aircraft No-fly Latitude (Degrees)	Aircraft No-fly Longitude (Degrees)	Aircraft No-fly Radius (ft)	Home Latitude (Degrees)	Home Longitude (Degrees)	Aircraft Smart Go-home Flight Time Remaining (sec)	Aircraft Smart Go-home Flight Return Time (sec)	Aircraft Smart Go-home Landing Time (sec)	Aircraft Smart Go-home Return Power (%)	Aircraft Smart Go-home Landing Power (%)	Aircraft Smart Go-home Radius (ft)	Aircraft Smart Go-home Countdown (sec)	Aircraft Smart Go-home Requesting	Aircraft System State Last Updated (ms)	Gimbal Pitch (Degrees)	Gimbal Roll (Degrees)	Gimbal Yaw (Degrees)	Gimbal Mode	Gimbal Mode Value	Gimbal Pitch at Stop	Gimbal Roll at Stop	Gimbal Yaw at Stop	Gimbal Status Last Updated (ms)	Landing Gear is Movable	Landing Gear Status	Landing Gear Status Value	Landing Gear Mode	Landing Gear Mode Value	Landing Gear Last Updated (ms)	RC State	RC State Value	RC Left Horizontal	RC Left Vertical	RC Right Horizontal	RC Right Vertical	RC Left Wheel	RC Right Wheel	RC Landing Gear	RC Landing Gear Value	RC Go Home	RC Record	RC Shutter	RC Playback	RC Pause	RC Custom 1	RC Custom 2	RC State Last Updated (ms)	RC Battery (%)	RC Battery State Last Updated (ms)	RC Sattelites	RC Horizontal Accuaracy (ft)	RC Latitude (Degrees)	RC Longitude (Degrees)	RC GSP Data is Valid	RC GPS State Last Updated (ms)	RC Signal 1	RC Signal 2	RC Signal Last Updated (ms)	LB Signal 1	LB Signal 2	LB Signal Last Updated (ms)	Aircraft Camera Mode	Aircraft Camera Mode Value	Aircraft Camera Overheated	Aircraft Camera Sensor Error	Aircraft Camera Recording	Aircraft Camera Raw Capture	Aircraft Camera Interval Capture	Aircraft Camera Burst Capture	Aircraft Camera Single Capture	Aircraft Camera Storing Photo	Aircraft Camera State Last Updated (ms)	Aircraft Camera SD Card Exists	Aircraft Camera SD Card Remaining (%)	Aircraft Camera SD Card State Last Updated (ms)	Aircraft Camera Changeable Lens Supported	Aircraft Camera Lens Installed	Aircraft Camera Lens Type	Aircraft Camera Lens AF Enabled	Aircraft Camera Lens Focus Mode	Aircraft Camera Lens Focus Mode Value	Aircraft Camera Lens Focus Status	Aircraft Camera Lens Focus Status Value	Aircraft Camera Lens MF Assistant	Aircraft Camera Lens AF Assistant	Aircraft Camera Lens Assistant Working	Aircraft Camera Lens State Last Updated (ms)	Compass Index	Compass Sensor Value	Compass State	Compass State Last Updated (ms)	Compass Calibration State	Compass Calibration Last Updated (ms)	Device > Aircraft Distance - XY (ft)
11/13/2020 01:12:42	2.441	[{"message":"Mission did take off"},{"planId":"5faddd83440520a955fb31c2","templateId":"5f1b24bb3fd4e17d4952cf4b","projectId":"5e5da0be976932beb266c15f"}]	0.0	0.0	2441.2779808044434	56	1	1	25	73.4	4.636049270629883	0	0	0	0	2441.275119781494	37.771846	-122.407436	22.369418519393044	9.84252	18.0	22.369418519393044	0.0	0.0	0.0	0.0	10	1	1	flight mode	14	0	1	0.0	1	Very Strong	5	Fly Zone Unknown	255	0.0	0.0	0	37.771846	-122.407436	100	100	90	40	10	32.8084	0	0	5.313873291015625	-90.0	0.0	0.0	Free	0	1	1	1	3.325939178466797	0	Unknown	0	Unknown	3	2442.113161087036	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	5.269050598144531	100	5.218982696533203	1	0.0	0.0	0.0	1	5.508899688720703	0	0	2442.1539306640625	0	0	2442.1541690826416	Shoot Photo	0	0	0	0	0	0	0	0	0	3.659963607788086	1	100.0	3.6101341247558594	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	2442.2593116760254	0	18.0	2	5.782842636108398	255	2442.265033721924	3902877.547784845
11/13/2020 01:12:43	2.611		0.0	0.0	2610.592842102051	56	1	1	25	73.4	1.1911392211914062	0	0	0	0	2610.59308052063	37.771846	-122.407436	22.369418519393044	13.12336	18.0	22.369418519393044	0.0	0.0	0.0	0.0	10	1	1	flight mode	14	0	1	0.0	1	Very Strong	5	Fly Zone Unknown	255	0.0	0.0	0	37.771846	-122.407436	100	100	90	40	10	32.8084	0	0	1.4491081237792969	-90.0	0.0	0.0	Free	0	1	1	1	171.91100120544434	0	Unknown	0	Unknown	3	2610.6350421905518	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	1.0290145874023438	100	0.9942054748535156	1	0.0	0.0	0.0	1	1.255035400390625	0	0	2610.6419563293457	0	0	2610.643148422241	Shoot Photo	0	0	0	0	0	0	0	0	0	172.10888862609863	1	100.0	172.04904556274414	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	2610.666275024414	0	18.0	2	1.4269351959228516	255	2610.667943954468	3902877.547784845
11/13/2020 01:12:43	2.775		0.0	0.0	2774.524688720703	56	1	1	25	73.4	1.2860298156738281	0	0	0	0	2774.506092071533	37.771846	-122.407436	22.369418519393044	16.4042	18.0	22.369418519393044	0.0	0.0	0.0	0.0	10	1	1	flight mode	14	0	1	0.0	1	Very Strong	5	Fly Zone Unknown	255	0.0	0.0	0	37.771846	-122.407436	100	100	90	40	10	32.8084	0	0	1.5108585357666016	-90.0	0.0	0.0	Free	0	1	1	1	335.82592010498047	0	Unknown	0	Unknown	3	2774.5511531829834	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	1.0559558868408203	100	1.024007797241211	1	0.0	0.0	0.0	1	1.3308525085449219	0	0	2774.5609283447266	0	0	2774.562120437622	Shoot Photo	0	0	0	0	0	0	0	0	0	336.029052734375	1	100.0	335.9711170196533	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	2774.5890617370605	0	18.0	2	1.5170574188232422	255	2774.5931148529053	3902877.547784845
11/13/2020 01:12:43	2.941		0.0	0.0	2940.88077545166	56	1	1	25	73.4	1.3928413391113281	0	0	0	0	2940.865993499756	37.771846	-122.407436	22.369418519393044	19.68504	18.0	22.369418519393044	0.0	0.0	0.0	0.0	10	1	1	flight mode	14	0	1	0.0	1	Very Strong	5	Fly Zone Unknown	255	0.0	0.0	0	37.771846	-122.407436	100	100	90	40	10	32.8084	0	0	1.6319751739501953	-90.0	0.0	0.0	Free	0	1	1	1	502.19011306762695	0	Unknown	0	Unknown	3	2940.916061401367	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	1.119852066040039	100	1.0769367218017578	1	0.0	0.0	0.0	1	1.4629364013671875	0	0	2940.9279823303223	0	0	2940.929174423218	Shoot Photo	0	0	0	0	0	0	0	0	0	502.3989677429199	1	100.0	502.34007835388184	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	2940.9570693969727	0	18.0	2	1.6391277313232422	255	2940.960168838501	3902877.547784845
11/13/2020 01:12:43	3.114		0.0	0.0	3113.2028102874756	56	1	1	25	73.4	1.2087821960449219	0	0	0	0	3113.1701469421387	37.771846	-122.407436	22.369418519393044	22.96588	18.0	22.369418519393044	0.0	0.0	0.0	0.0	10	1	1	flight mode	14	0	1	0.0	1	Very Strong	5	Fly Zone Unknown	255	0.0	0.0	0	37.771846	-122.407436	100	100	90	40	10	32.8084	0	0	1.4238357543945312	-90.0	0.0	0.0	Free	0	1	1	1	674.4780540466309	0	Unknown	0	Unknown	3	3113.200902938843	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	0.9579658508300781	100	0.92315673828125	1	0.0	0.0	0.0	1	1.2378692626953125	0	0	3113.204002380371	0	0	3113.2049560546875	Shoot Photo	0	0	0	0	0	0	0	0	0	0.10800361633300781	1	100.0	674.6060848236084	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	3113.22021484375	0	18.0	2	1.399993896484375	255	3113.2209300994873	3902877.547784845
11/13/2020 01:12:43	3.292		0.0	0.0	3291.383743286133	56	1	1	25	73.4	1.5869140625	0	0	0	0	3291.3520336151123	37.771846	-122.407436	22.369418519393044	26.24672	18.0	22.369418519393044	0.0	0.0	0.0	0.0	10	1	1	flight mode	14	0	1	0.0	1	Very Strong	5	Fly Zone Unknown	255	0.0	0.0	0	37.771846	-122.407436	100	100	90	40	10	32.8084	0	0	1.8219947814941406	-90.0	0.0	0.0	Free	0	1	1	1	178.1139373779297	0	Unknown	0	Unknown	3	3291.3880348205566	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	1.2378692626953125	100	1.1887550354003906	1	0.0	0.0	0.0	1	1.5788078308105469	0	0	3291.393041610718	0	0	3291.393041610718	Shoot Photo	0	0	0	0	0	0	0	0	0	178.2991886138916	1	100.0	178.24196815490723	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	3291.412115097046	0	18.0	2	1.8029212951660156	255	3291.4130687713623	3902877.547784845
11/13/2020 01:12:43	3.463		0.0	0.0	3462.9178047180176	56	1	1	25	73.4	1.7380714416503906	0	0	0	0	3462.8970623016357	37.771846	-122.407436	22.369418519393044	29.52756	18.0	22.369418519393044	0.0	0.0	0.0	0.0	10	1	1	flight mode	14	0	1	0.0	1	Very Strong	5	Fly Zone Unknown	255	0.0	0.0	0	37.771846	-122.407436	100	100	90	40	10	32.8084	0	0	1.9869804382324219	-90.0	0.0	0.0	Free	0	1	1	1	349.68090057373047	0	Unknown	0	Unknown	3	3462.9571437835693	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	1.5387535095214844	100	1.5060901641845703	1	0.0	0.0	0.0	1	1.8110275268554688	0	0	3462.962865829468	0	0	3462.9640579223633	Shoot Photo	0	0	0	0	0	0	0	0	0	349.87401962280273	1	100.0	349.8260974884033	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	3462.996006011963	0	18.0	2	1.995086669921875	255	3462.999105453491	3902877.547784845
11/13/2020 01:12:44	3.638		0.0	0.0	3637.272834777832	56	1	1	25	73.4	176.1031150817871	0	0	0	0	3637.275218963623	37.771846	-122.407436	22.369418519393044	29.52756	18.0	22.369418519393044	0.0	0.0	0.0	0.0	10	1	1	flight mode	14	0	1	0.0	1	Very Strong	5	Fly Zone Unknown	255	0.0	0.0	0	37.771846	-122.407436	100	100	90	40	10	32.8084	0	0	176.3448715209961	-90.0	0.0	0.0	Free	0	1	1	1	524.0321159362793	0	Unknown	0	Unknown	3	3637.3069286346436	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	175.8880615234375	100	175.85515975952148	1	0.0	0.0	0.0	1	176.15890502929688	0	0	3637.309789657593	0	0	3637.3109817504883	Shoot Photo	0	0	0	0	0	0	0	0	0	524.2180824279785	1	100.0	524.163007736206	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	3637.3353004455566	0	18.0	2	176.33390426635742	255	3637.3379230499268	3902877.547784845
11/13/2020 01:12:44	3.808		0.0	0.0	3807.2309494018555	56	1	1	25	73.4	1.316070556640625	0	0	0	0	3807.2140216827393	37.771846	-122.407436	22.369418519393044	36.08924	18.0	22.369418519393044	0.0	0.0	0.0	0.0	10	1	1	flight mode	14	0	1	0.0	1	Very Strong	5	Fly Zone Unknown	255	0.0	0.0	0	37.771846	-122.407436	100	100	90	40	10	32.8084	0	0	1.5430450439453125	-90.0	0.0	0.0	Free	0	1	1	1	693.9859390258789	0	Unknown	0	Unknown	3	3807.263135910034	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	1.0752677917480469	100	1.0440349578857422	1	0.0	0.0	0.0	1	1.3878345489501953	0	0	3807.274103164673	0	0	3807.2779178619385	Shoot Photo	0	0	0	0	0	0	0	0	0	694.1878795623779	1	100.0	694.133996963501	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	3807.3062896728516	0	18.0	2	1.5597343444824219	255	3807.310104370117	3902877.547784845
11/13/2020 01:12:44	3.973		0.0	0.0	3972.3849296569824	56	1	1	25	73.4	1.3267993927001953	0	0	0	0	3972.3830223083496	37.771846	-122.407436	22.369418519393044	39.37008	18.0	22.369418519393044	0.0	0.0	0.0	0.0	10	1	1	flight mode	14	0	1	0.0	1	Very Strong	5	Fly Zone Unknown	255	0.0	0.0	0	37.771846	-122.407436	100	100	90	40	10	32.8084	0	0	1.6748905181884766	-90.0	0.0	0.0	Free	0	1	1	1	859.1389656066895	0	Unknown	0	Unknown	3	3972.4271297454834	3	2	0	0	0	0	0	0	No Present	0	0	0	0	0	0	0	0	1.0728836059570312	100	1.0418891906738281	1	0.0	0.0	0.0	1	1.383066177368164	0	0	3972.4280834198	0	0	3972.429037094116	Shoot Photo	0	0	0	0	0	0	0	0	0	0.16188621520996094	1	100.0	859.2751026153564	0	0	Unknown	0	Manual	0	Idle	0	0	0	0	3972.445011138916	0	18.0	2	1.6329288482666016	255	3972.4462032318115	3902877.547784845
